10:25:14.835 [restartedMain] INFO  c.b.b.BoardprojectApplication - Starting BoardprojectApplication using Java 17.0.7 with PID 23496 (C:\Users\user\IdeaProjects\boardproject\target\classes started by user in C:\Users\user\IdeaProjects\boardproject)
10:25:14.837 [restartedMain] INFO  c.b.b.BoardprojectApplication - No active profile set, falling back to 1 default profile: "default"
10:25:15.085 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:25:15.087 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:25:15.717 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
10:25:15.727 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
10:25:16.245 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 90 (http)
10:25:16.328 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1241 ms
10:25:16.963 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
10:25:17.280 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection net.sf.log4jdbc.sql.jdbcapi.ConnectionSpy@783193ba
10:25:17.282 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
10:25:17.413 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:25:17.444 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 90 (http) with context path ''
10:25:17.451 [restartedMain] INFO  c.b.b.BoardprojectApplication - Started BoardprojectApplication in 3.017 seconds (process running for 3.713)
